"UnitCode","Year","Visits"
"ANIA",2020,10830
"ANIA",2021,40760
"ANIA",2022,47288
"ANIA",2023,46262
"ANIA",2024,40058
"ANJO",1979,136182
"ANJO",1980,186724
"ANJO",1981,201360
"ANJO",1982,221630
"ANJO",1983,321510
"ANJO",1984,227908
"ANJO",1985,183194
"ANJO",1986,196536
"ANJO",1987,208482
"ANJO",1988,207854
"ANJO",1989,195336
"ANJO",1990,193278
"ANJO",1991,222512
"ANJO",1992,177100
"ANJO",1993,144886
"ANJO",1994,188074
"ANJO",1995,197290
"ANJO",1996,185352
"ANJO",1997,208772
"ANJO",1998,191952
"ANJO",1999,169896
"ANJO",2000,187240
"ANJO",2001,156080
"ANJO",2002,152568
"ANJO",2003,160850
"ANJO",2004,153832
"ANJO",2005,146606
"ANJO",2006,161686
"ANJO",2007,143482
"ANJO",2008,215658
"ANJO",2009,199234
"ANJO",2010,187998
"ANJO",2011,167962
"ANJO",2012,166038
"ANJO",2013,140122
"ANJO",2014,136914
"ANJO",2015,144790
"ANJO",2016,147794
"ANJO",2017,164446
"ANJO",2018,155334
"ANJO",2019,158784
"ANJO",2020,128046
"ANJO",2021,187398
"ANJO",2022,156510
"ANJO",2023,178310
"ANJO",2024,163154
"ANTI",1979,1960534
"ANTI",1980,2144864
"ANTI",1981,2858284
"ANTI",1982,2522948
"ANTI",1983,2652682
"ANTI",1984,3201294
"ANTI",1985,3554438
"ANTI",1986,4310130
"ANTI",1987,3864366
"ANTI",1988,984550
"ANTI",1989,1014288
"ANTI",1990,1583224
"ANTI",1991,1920784
"ANTI",1992,1792776
"ANTI",1993,1438312
"ANTI",1994,1663656
"ANTI",1995,1475374
"ANTI",1996,1917120
"ANTI",1997,1806624
"ANTI",1998,1793320
"ANTI",1999,1856030
"ANTI",2000,1892544
"ANTI",2001,1785594
"ANTI",2002,1971246
"ANTI",2003,1748888
"ANTI",2004,1522396
"ANTI",2005,1885450
"ANTI",2006,2019316
"ANTI",2007,2138020
"ANTI",2008,2207272
"ANTI",2009,2393790
"ANTI",2010,2223740
"ANTI",2011,2347162
"ANTI",2012,3765532
"ANTI",2013,2296990
"ANTI",2014,2102472
"ANTI",2015,2123720
"ANTI",2016,2191590
"ANTI",2017,2261678
"ANTI",2018,2134782
"ANTI",2019,1792660
"ANTI",2020,399466
"ANTI",2021,668916
"ANTI",2022,712708
"ANTI",2023,971880
"ANTI",2024,1193966
"APCO",1979,767642
"APCO",1980,808876
"APCO",1981,912528
"APCO",1982,868162
"APCO",1983,890762
"APCO",1984,1151732
"APCO",1985,1004178
"APCO",1986,1170788
"APCO",1987,1207616
"APCO",1988,1131324
"APCO",1989,1367798
"APCO",1990,1457348
"APCO",1991,1163808
"APCO",1992,1128414
"APCO",1993,773570
"APCO",1994,1001046
"APCO",1995,816466
"APCO",1996,753024
"APCO",1997,749098
"APCO",1998,738166
"APCO",1999,726422
"APCO",2000,718016
"APCO",2001,696288
"APCO",2002,648012
"APCO",2003,566880
"APCO",2004,557446
"APCO",2005,500318
"APCO",2006,533138
"APCO",2007,545762
"APCO",2008,653606
"APCO",2009,678082
"APCO",2010,790620
"APCO",2011,946744
"APCO",2012,1172540
"APCO",2013,1161536
"APCO",2014,1019356
"APCO",2015,1508850
"APCO",2016,1108442
"APCO",2017,558946
"APCO",2018,505402
"APCO",2019,502240
"APCO",2020,272290
"APCO",2021,448970
"APCO",2022,409458
"APCO",2023,451052
"APCO",2024,410868
"APIS",1979,1097862
"APIS",1980,1088457
"APIS",1981,1404397
"APIS",1982,1629653
"APIS",1983,1659729
"APIS",1984,1557096
"APIS",1985,1483162
"APIS",1986,1436539
"APIS",1987,1785129
"APIS",1988,1922406
"APIS",1989,1769044
"APIS",1990,1833444
"APIS",1991,1838126
"APIS",1992,1414616
"APIS",1993,1654790
"APIS",1994,1850404
"APIS",1995,2133924
"APIS",1996,2086004
"APIS",1997,2243664
"APIS",1998,3013792
"APIS",1999,2339714
"APIS",2000,2333236
"APIS",2001,2207252
"APIS",2002,2413750
"APIS",2003,2213330
"APIS",2004,1918088
"APIS",2005,2021690
"APIS",2006,2076610
"APIS",2007,2044162
"APIS",2008,1623116
"APIS",2009,1999442
"APIS",2010,1789992
"APIS",2011,1909012
"APIS",2012,1816332
"APIS",2013,1713422
"APIS",2014,2469842
