"UnitCode","Year","Month","Statistic","Value","StateID"
"ANTI",2016,2,"TT",0,"MD"
"ANTI",2016,2,"TRVS",0,"MD"
"ANTI",2016,2,"TTRV",0,"MD"
"ANTI",2016,2,"BC",0,"MD"
"ANTI",2016,2,"MISC",0,"MD"
"ANTI",2016,2,"NROS",0,"MD"
"ANTI",2016,2,"TOS",0,"MD"
"ANTI",2016,2,"TNRVH",0,"MD"
"ANTI",2016,3,"TRV",22624,"MD"
"ANTI",2016,3,"TNRV",0,"MD"
"ANTI",2016,3,"TV",22624,"MD"
"ANTI",2016,3,"TRVH",46568,"MD"
"ANTI",2016,3,"TH",46568,"MD"
"ANTI",2016,3,"CL",0,"MD"
"ANTI",2016,3,"CCG",0,"MD"
"ANTI",2016,3,"TT",0,"MD"
"ANTI",2016,3,"TRVS",0,"MD"
"ANTI",2016,3,"TTRV",0,"MD"
"ANTI",2016,3,"BC",0,"MD"
"ANTI",2016,3,"MISC",44,"MD"
"ANTI",2016,3,"NROS",0,"MD"
"ANTI",2016,3,"TOS",44,"MD"
"ANTI",2016,3,"TNRVH",0,"MD"
"ANTI",2016,4,"TRV",24495,"MD"
"ANTI",2016,4,"TNRV",0,"MD"
"ANTI",2016,4,"TV",24495,"MD"
"ANTI",2016,4,"TRVH",50909,"MD"
"ANTI",2016,4,"TH",50909,"MD"
"ANTI",2016,4,"CL",0,"MD"
"ANTI",2016,4,"CCG",0,"MD"
"ANTI",2016,4,"TT",0,"MD"
"ANTI",2016,4,"TRVS",0,"MD"
"ANTI",2016,4,"TTRV",0,"MD"
"ANTI",2016,4,"BC",0,"MD"
"ANTI",2016,4,"MISC",64,"MD"
"ANTI",2016,4,"NROS",0,"MD"
"ANTI",2016,4,"TOS",64,"MD"
"ANTI",2016,4,"TNRVH",0,"MD"
"ANTI",2016,5,"TRV",34306,"MD"
"ANTI",2016,5,"TNRV",0,"MD"
"ANTI",2016,5,"TV",34306,"MD"
"ANTI",2016,5,"TRVH",70151,"MD"
"ANTI",2016,5,"TH",70151,"MD"
"ANTI",2016,5,"CL",0,"MD"
"ANTI",2016,5,"CCG",0,"MD"
"ANTI",2016,5,"TT",0,"MD"
"ANTI",2016,5,"TRVS",0,"MD"
"ANTI",2016,5,"TTRV",0,"MD"
"ANTI",2016,5,"BC",0,"MD"
"ANTI",2016,5,"MISC",58,"MD"
"ANTI",2016,5,"NROS",0,"MD"
"ANTI",2016,5,"TOS",58,"MD"
"ANTI",2016,5,"TNRVH",0,"MD"
"ANTI",2016,6,"TRV",41630,"MD"
"ANTI",2016,6,"TNRV",0,"MD"
"ANTI",2016,6,"TV",41630,"MD"
"ANTI",2016,6,"TRVH",84550,"MD"
"ANTI",2016,6,"TH",84550,"MD"
"ANTI",2016,6,"CL",0,"MD"
"ANTI",2016,6,"CCG",0,"MD"
"ANTI",2016,6,"TT",0,"MD"
"ANTI",2016,6,"TRVS",0,"MD"
"ANTI",2016,6,"TTRV",0,"MD"
"ANTI",2016,6,"BC",0,"MD"
"ANTI",2016,6,"MISC",43,"MD"
"ANTI",2016,6,"NROS",0,"MD"
"ANTI",2016,6,"TOS",43,"MD"
"ANTI",2016,6,"TNRVH",0,"MD"
"ANTI",2016,7,"TRV",71040,"MD"
"ANTI",2016,7,"TNRV",0,"MD"
"ANTI",2016,7,"TV",71040,"MD"
"ANTI",2016,7,"TRVH",167649,"MD"
"ANTI",2016,7,"TH",167649,"MD"
"ANTI",2016,7,"CL",0,"MD"
"ANTI",2016,7,"CCG",0,"MD"
"ANTI",2016,7,"TT",0,"MD"
"ANTI",2016,7,"TRVS",0,"MD"
"ANTI",2016,7,"TTRV",0,"MD"
"ANTI",2016,7,"BC",0,"MD"
"ANTI",2016,7,"MISC",19,"MD"
"ANTI",2016,7,"NROS",0,"MD"
"ANTI",2016,7,"TOS",19,"MD"
"ANTI",2016,7,"TNRVH",0,"MD"
"ANTI",2016,8,"TRV",36373,"MD"
"ANTI",2016,8,"TNRV",0,"MD"
"ANTI",2016,8,"TV",36373,"MD"
"ANTI",2016,8,"TRVH",73615,"MD"
"ANTI",2016,8,"TH",73615,"MD"
"ANTI",2016,8,"CL",0,"MD"
"ANTI",2016,8,"CCG",0,"MD"
"ANTI",2016,8,"TT",0,"MD"
"ANTI",2016,8,"TRVS",0,"MD"
"ANTI",2016,8,"TTRV",0,"MD"
"ANTI",2016,8,"BC",0,"MD"
"ANTI",2016,8,"MISC",29,"MD"
"ANTI",2016,8,"NROS",0,"MD"
"ANTI",2016,8,"TOS",29,"MD"
"ANTI",2016,8,"TNRVH",0,"MD"
"ANTI",2016,9,"TRV",33925,"MD"
"ANTI",2016,9,"TNRV",0,"MD"
"ANTI",2016,9,"TV",33925,"MD"
"ANTI",2016,9,"TRVH",69590,"MD"
"ANTI",2016,9,"TH",69590,"MD"
"ANTI",2016,9,"CL",0,"MD"
"ANTI",2016,9,"CCG",0,"MD"
"ANTI",2016,9,"TT",0,"MD"
"ANTI",2016,9,"TRVS",0,"MD"
"ANTI",2016,9,"TTRV",0,"MD"
"ANTI",2016,9,"BC",0,"MD"
"ANTI",2016,9,"MISC",58,"MD"
"ANTI",2016,9,"NROS",0,"MD"
"ANTI",2016,9,"TOS",58,"MD"
"ANTI",2016,9,"TNRVH",0,"MD"
"ANTI",2016,10,"TRV",38411,"MD"
"ANTI",2016,10,"TNRV",0,"MD"
"ANTI",2016,10,"TV",38411,"MD"
"ANTI",2016,10,"TRVH",80830,"MD"
"ANTI",2016,10,"TH",80830,"MD"
"ANTI",2016,10,"CL",0,"MD"
"ANTI",2016,10,"CCG",0,"MD"
"ANTI",2016,10,"TT",0,"MD"
"ANTI",2016,10,"TRVS",0,"MD"
"ANTI",2016,10,"TTRV",0,"MD"
"ANTI",2016,10,"BC",0,"MD"
"ANTI",2016,10,"MISC",68,"MD"
"ANTI",2016,10,"NROS",0,"MD"
"ANTI",2016,10,"TOS",68,"MD"
"ANTI",2016,10,"TNRVH",0,"MD"
"ANTI",2016,11,"TRV",19152,"MD"
"ANTI",2016,11,"TNRV",0,"MD"
"ANTI",2016,11,"TV",19152,"MD"
"ANTI",2016,11,"TRVH",39683,"MD"
"ANTI",2016,11,"TH",39683,"MD"
"ANTI",2016,11,"CL",0,"MD"
"ANTI",2016,11,"CCG",0,"MD"
"ANTI",2016,11,"TT",0,"MD"
"ANTI",2016,11,"TRVS",0,"MD"
"ANTI",2016,11,"TTRV",0,"MD"
"ANTI",2016,11,"BC",0,"MD"
"ANTI",2016,11,"MISC",46,"MD"
"ANTI",2016,11,"NROS",0,"MD"
"ANTI",2016,11,"TOS",46,"MD"
"ANTI",2016,11,"TNRVH",0,"MD"
"ANTI",2016,12,"TRV",16677,"MD"
"ANTI",2016,12,"TNRV",0,"MD"
"ANTI",2016,12,"TV",16677,"MD"
"ANTI",2016,12,"TRVH",33353,"MD"
"ANTI",2016,12,"TH",33353,"MD"
"ANTI",2016,12,"CL",0,"MD"
"ANTI",2016,12,"CCG",0,"MD"
"ANTI",2016,12,"TT",0,"MD"
"ANTI",2016,12,"TRVS",0,"MD"
"ANTI",2016,12,"TTRV",0,"MD"
"ANTI",2016,12,"BC",0,"MD"
"ANTI",2016,12,"MISC",0,"MD"
"ANTI",2016,12,"NROS",0,"MD"
"ANTI",2016,12,"TOS",0,"MD"
"ANTI",2016,12,"TNRVH",0,"MD"
"ABLI",2016,1,"TRV",5954,"KY"
"ABLI",2016,1,"TNRV",0,"KY"
"ABLI",2016,1,"TV",5954,"KY"
"ABLI",2016,1,"TRVH",5954,"KY"
"ABLI",2016,1,"TH",5954,"KY"
"ABLI",2016,1,"CL",0,"KY"
"ABLI",2016,1,"CCG",0,"KY"
"ABLI",2016,1,"TT",0,"KY"
"ABLI",2016,1,"TRVS",0,"KY"
"ABLI",2016,1,"TTRV",0,"KY"
"ABLI",2016,1,"BC",0,"KY"
"ABLI",2016,1,"MISC",0,"KY"
"ABLI",2016,1,"NROS",0,"KY"
"ABLI",2016,1,"TOS",0,"KY"
"ABLI",2016,1,"TNRVH",0,"KY"
"ABLI",2016,2,"TRV",5721,"KY"
"ABLI",2016,2,"TNRV",0,"KY"
"ABLI",2016,2,"TV",5721,"KY"
"ABLI",2016,2,"TRVH",5721,"KY"
"ABLI",2016,2,"TH",5721,"KY"
"ABLI",2016,2,"CL",0,"KY"
"ABLI",2016,2,"CCG",0,"KY"
"ABLI",2016,2,"TT",0,"KY"
"ABLI",2016,2,"TRVS",0,"KY"
"ABLI",2016,2,"TTRV",0,"KY"
"ABLI",2016,2,"BC",0,"KY"
"ABLI",2016,2,"MISC",0,"KY"
"ABLI",2016,2,"NROS",0,"KY"
"ABLI",2016,2,"TOS",0,"KY"
"ABLI",2016,2,"TNRVH",0,"KY"
"ABLI",2016,3,"TRV",13005,"KY"
"ABLI",2016,3,"TNRV",0,"KY"
"ABLI",2016,3,"TV",13005,"KY"
"ABLI",2016,3,"TRVH",13005,"KY"
"ABLI",2016,3,"TH",13005,"KY"
"ABLI",2016,3,"CL",0,"KY"
"ABLI",2016,3,"CCG",0,"KY"
"ABLI",2016,3,"TT",0,"KY"
"ABLI",2016,3,"TRVS",0,"KY"
"ABLI",2016,3,"TTRV",0,"KY"
"ABLI",2016,3,"BC",0,"KY"
"ABLI",2016,3,"MISC",0,"KY"
"ABLI",2016,3,"NROS",0,"KY"
"ABLI",2016,3,"TOS",0,"KY"
"ABLI",2016,3,"TNRVH",0,"KY"
"ABLI",2016,4,"TRV",23676,"KY"
"ABLI",2016,4,"TNRV",0,"KY"
"ABLI",2016,4,"TV",23676,"KY"
"ABLI",2016,4,"TRVH",23676,"KY"
"ABLI",2016,4,"TH",23676,"KY"
"ABLI",2016,4,"CL",0,"KY"
"ABLI",2016,4,"CCG",0,"KY"
"ABLI",2016,4,"TT",0,"KY"
"ABLI",2016,4,"TRVS",0,"KY"
"ABLI",2016,4,"TTRV",0,"KY"
"ABLI",2016,4,"BC",0,"KY"
"ABLI",2016,4,"MISC",0,"KY"
"ABLI",2016,4,"NROS",0,"KY"
"ABLI",2016,4,"TOS",0,"KY"
"ABLI",2016,4,"TNRVH",0,"KY"
"ABLI",2016,5,"TRV",23890,"KY"
"ABLI",2016,5,"TNRV",0,"KY"
"ABLI",2016,5,"TV",23890,"KY"
"ABLI",2016,5,"TRVH",23890,"KY"
"ABLI",2016,5,"TH",23890,"KY"
"ABLI",2016,5,"CL",0,"KY"
"ABLI",2016,5,"CCG",0,"KY"
"ABLI",2016,5,"TT",0,"KY"
"ABLI",2016,5,"TRVS",0,"KY"
"ABLI",2016,5,"TTRV",0,"KY"
"ABLI",2016,5,"BC",0,"KY"
"ABLI",2016,5,"MISC",0,"KY"
"ABLI",2016,5,"NROS",0,"KY"
"ABLI",2016,5,"TOS",0,"KY"
"ABLI",2016,5,"TNRVH",0,"KY"
"ABLI",2016,6,"TRV",29233,"KY"
"ABLI",2016,6,"TNRV",0,"KY"
"ABLI",2016,6,"TV",29233,"KY"
"ABLI",2016,6,"TRVH",29233,"KY"
"ABLI",2016,6,"TH",29233,"KY"
"ABLI",2016,6,"CL",0,"KY"
"ABLI",2016,6,"CCG",0,"KY"
"ABLI",2016,6,"TT",0,"KY"
"ABLI",2016,6,"TRVS",0,"KY"
"ABLI",2016,6,"TTRV",0,"KY"
"ABLI",2016,6,"BC",0,"KY"
"ABLI",2016,6,"MISC",0,"KY"
"ABLI",2016,6,"NROS",0,"KY"
"ABLI",2016,6,"TOS",0,"KY"
"ABLI",2016,6,"TNRVH",0,"KY"
"ABLI",2016,7,"TRV",52771,"KY"
"ABLI",2016,7,"TNRV",0,"KY"
"ABLI",2016,7,"TV",52771,"KY"
"ABLI",2016,7,"TRVH",52771,"KY"
"ABLI",2016,7,"TH",52771,"KY"
"ABLI",2016,7,"CL",0,"KY"
"ABLI",2016,7,"CCG",0,"KY"
"ABLI",2016,7,"TT",0,"KY"
"ABLI",2016,7,"TRVS",0,"KY"
"ABLI",2016,7,"TTRV",0,"KY"
"ABLI",2016,7,"BC",0,"KY"
"ABLI",2016,7,"MISC",0,"KY"
"ABLI",2016,7,"NROS",0,"KY"
"ABLI",2016,7,"TOS",0,"KY"
"ABLI",2016,7,"TNRVH",0,"KY"
"ABLI",2016,8,"TRV",38461,"KY"
"ABLI",2016,8,"TNRV",0,"KY"
"ABLI",2016,8,"TV",38461,"KY"
"ABLI",2016,8,"TRVH",38461,"KY"
"ABLI",2016,8,"TH",38461,"KY"
"ABLI",2016,8,"CL",0,"KY"
"ABLI",2016,8,"CCG",0,"KY"
"ABLI",2016,8,"TT",0,"KY"
"ABLI",2016,8,"TRVS",0,"KY"
"ABLI",2016,8,"TTRV",0,"KY"
"ABLI",2016,8,"BC",0,"KY"
"ABLI",2016,8,"MISC",0,"KY"
"ABLI",2016,8,"NROS",0,"KY"
"ABLI",2016,8,"TOS",0,"KY"
"ABLI",2016,8,"TNRVH",0,"KY"
"ABLI",2016,9,"TRV",21779,"KY"
"ABLI",2016,9,"TNRV",0,"KY"
"ABLI",2016,9,"TV",21779,"KY"
"ABLI",2016,9,"TRVH",21779,"KY"
"ABLI",2016,9,"TH",21779,"KY"
"ABLI",2016,9,"CL",0,"KY"
"ABLI",2016,9,"CCG",0,"KY"
"ABLI",2016,9,"TT",0,"KY"
"ABLI",2016,9,"TRVS",0,"KY"
"ABLI",2016,9,"TTRV",0,"KY"
"ABLI",2016,9,"BC",0,"KY"
"ABLI",2016,9,"MISC",0,"KY"
"ABLI",2016,9,"NROS",0,"KY"
"ABLI",2016,9,"TOS",0,"KY"
"ABLI",2016,9,"TNRVH",0,"KY"
"ABLI",2016,10,"TRV",20274,"KY"
"ABLI",2016,10,"TNRV",0,"KY"
"ABLI",2016,10,"TV",20274,"KY"
"ABLI",2016,10,"TRVH",20274,"KY"
"ABLI",2016,10,"TH",20274,"KY"
"ABLI",2016,10,"CL",0,"KY"
"ABLI",2016,10,"CCG",0,"KY"
"ABLI",2016,10,"TT",0,"KY"
"ABLI",2016,10,"TRVS",0,"KY"
"ABLI",2016,10,"TTRV",0,"KY"
"ABLI",2016,10,"BC",0,"KY"
"ABLI",2016,10,"MISC",0,"KY"
"ABLI",2016,10,"NROS",0,"KY"
"ABLI",2016,10,"TOS",0,"KY"
"ABLI",2016,10,"TNRVH",0,"KY"
"ABLI",2016,11,"TRV",11502,"KY"
"ABLI",2016,11,"TNRV",0,"KY"
"ABLI",2016,11,"TV",11502,"KY"
"ABLI",2016,11,"TRVH",11502,"KY"
"ABLI",2016,11,"TH",11502,"KY"
"ABLI",2016,11,"CL",0,"KY"
"ABLI",2016,11,"CCG",0,"KY"
"ABLI",2016,11,"TT",0,"KY"
"ABLI",2016,11,"TRVS",0,"KY"
"ABLI",2016,11,"TTRV",0,"KY"
"ABLI",2016,11,"BC",0,"KY"
"ABLI",2016,11,"MISC",0,"KY"
"ABLI",2016,11,"NROS",0,"KY"
"ABLI",2016,11,"TOS",0,"KY"
"ABLI",2016,11,"TNRVH",0,"KY"
"ABLI",2016,12,"TRV",6229,"KY"
"ABLI",2016,12,"TNRV",0,"KY"
"ABLI",2016,12,"TV",6229,"KY"
"ABLI",2016,12,"TRVH",6229,"KY"
"ABLI",2016,12,"TH",6229,"KY"
"ABLI",2016,12,"CL",0,"KY"
"ABLI",2016,12,"CCG",0,"KY"
"ABLI",2016,12,"TT",0,"KY"
"ABLI",2016,12,"TRVS",0,"KY"
"ABLI",2016,12,"TTRV",0,"KY"
"ABLI",2016,12,"BC",0,"KY"
"ABLI",2016,12,"MISC",0,"KY"
"ABLI",2016,12,"NROS",0,"KY"
"ABLI",2016,12,"TOS",0,"KY"
"ABLI",2016,12,"TNRVH",0,"KY"
"ARPO",2016,1,"TRV",1516,"AR"
"ARPO",2016,1,"TNRV",0,"AR"
"ARPO",2016,1,"TV",1516,"AR"
"ARPO",2016,1,"TRVH",2274,"AR"
"ARPO",2016,1,"TH",2274,"AR"
"ARPO",2016,1,"CL",0,"AR"
"ARPO",2016,1,"CCG",0,"AR"
"ARPO",2016,1,"TT",0,"AR"
"ARPO",2016,1,"TRVS",0,"AR"
"ARPO",2016,1,"TTRV",0,"AR"
"ARPO",2016,1,"BC",0,"AR"
"ARPO",2016,1,"MISC",0,"AR"
"ARPO",2016,1,"NROS",0,"AR"
"ARPO",2016,1,"TOS",0,"AR"
"ARPO",2016,1,"TNRVH",0,"AR"
"ARPO",2016,2,"TRV",1869,"AR"
"ARPO",2016,2,"TNRV",0,"AR"
"ARPO",2016,2,"TV",1869,"AR"
"ARPO",2016,2,"TRVH",2804,"AR"
"ARPO",2016,2,"TH",2804,"AR"
"ARPO",2016,2,"CL",0,"AR"
"ARPO",2016,2,"CCG",0,"AR"
"ARPO",2016,2,"TT",0,"AR"
"ARPO",2016,2,"TRVS",0,"AR"
"ARPO",2016,2,"TTRV",0,"AR"
"ARPO",2016,2,"BC",0,"AR"
"ARPO",2016,2,"MISC",0,"AR"
"ARPO",2016,2,"NROS",0,"AR"
"ARPO",2016,2,"TOS",0,"AR"
"ARPO",2016,2,"TNRVH",0,"AR"
"ARPO",2016,3,"TRV",3129,"AR"
"ARPO",2016,3,"TNRV",0,"AR"
"ARPO",2016,3,"TV",3129,"AR"
"ARPO",2016,3,"TRVH",4694,"AR"
"ARPO",2016,3,"TH",4694,"AR"
"ARPO",2016,3,"CL",0,"AR"
"ARPO",2016,3,"CCG",0,"AR"
"ARPO",2016,3,"TT",0,"AR"
"ARPO",2016,3,"TRVS",0,"AR"
"ARPO",2016,3,"TTRV",0,"AR"
"ARPO",2016,3,"BC",0,"AR"
"ARPO",2016,3,"MISC",0,"AR"
"ARPO",2016,3,"NROS",0,"AR"
"ARPO",2016,3,"TOS",0,"AR"
"ARPO",2016,3,"TNRVH",0,"AR"
"ARPO",2016,4,"TRV",4555,"AR"
"ARPO",2016,4,"TNRV",0,"AR"
"ARPO",2016,4,"TV",4555,"AR"
"ARPO",2016,4,"TRVH",6832,"AR"
"ARPO",2016,4,"TH",6832,"AR"
"ARPO",2016,4,"CL",0,"AR"
"ARPO",2016,4,"CCG",0,"AR"
"ARPO",2016,4,"TT",0,"AR"
"ARPO",2016,4,"TRVS",0,"AR"
"ARPO",2016,4,"TTRV",0,"AR"
"ARPO",2016,4,"BC",0,"AR"
"ARPO",2016,4,"MISC",0,"AR"
